Brand,Product Name,Variant,Volume ML,PCS/Case,Unit Type,Buy Price,Currency,Price Type,Stock Cases,MOQ,Incoterm,Warehouse,BBD,Notes,Supplier Name,EAN Unit,Cases per Pallet,Origin Country,Category
Nutella,NUTELLA 350g hazelnut cream,,,9,Piece,2.37,EUR,Per Piece,1500,,,,,Mfr: FERRERO (PL),CCF Baltija,80177173,150,Poland,Grocery
Lavazza,Coffee LavAzza Qualita Rossa beans 1kg,,,6,Piece,12.8,EUR,Per Piece,773,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino; stock 4636 pcs / 6 per case = 772.7 → rounded 773",CCF Baltija,8000070035898,66,Italy,Grocery
Lavazza,Coffee LavAzza Espresso Super Crema Coffee Beans 1kg,,,6,Piece,14.6,EUR,Per Piece,640,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino; stock 3842 pcs / 6 per case = 640.3 → rounded 640",CCF Baltija,8000070077416,66,Italy,Grocery
Lavazza,Coffee LavAzza Crema e Aroma Brown beans 1kg,,,6,Piece,13.0,EUR,Per Piece,468,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070025400,66,Italy,Grocery
Lavazza,Coffee Lavazza ORO Ground 250g,,,20,Piece,3.55,EUR,Per Piece,120,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070012783,60,Italy,Grocery
Lavazza,Coffee LavAzza Qualita ORO tine 250g,,,12,Piece,4.5,EUR,Per Piece,180,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070012141,90,Italy,Grocery
Lavazza,Coffee LavAzza Qualita ORO 1kg,,,6,Piece,14.9,EUR,Per Piece,355,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino; stock 2132 pcs / 6 per case = 355.3 → rounded 355",CCF Baltija,8000070020559,66,Italy,Grocery
Lavazza,Coffee LavAzza Espresso Gran Espresso beans 1kg,,,6,Piece,14.9,EUR,Per Piece,310,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070021341,66,Italy,Grocery
Lavazza,Coffee LavAzza Espresso Crema e Aroma BLUE beans 1kg,,,6,Piece,14.7,EUR,Per Piece,264,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070024908,66,Italy,Grocery
Lavazza,Coffee LavAzza Qualita Rossa beans 500g,,,12,Piece,7.1,EUR,Per Piece,132,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070036321,66,Italy,Grocery
Lavazza,Coffee LavAzza Espresso Italiano tine 250g,,,12,Piece,4.5,EUR,Per Piece,88,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070012875,90,Italy,Grocery
Lavazza,Coffee LavAzza Espresso Top Class beans 1 kg,,,6,Piece,15.8,EUR,Per Piece,132,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070020108,66,Italy,Grocery
Lavazza,Coffee LavAzza Crema Dolce beans 1kg,,,6,Piece,13.7,EUR,Per Piece,131,,,,,"Mfr: Luigi Lavazza, Via Bologna 32, 10152 Torino",CCF Baltija,8000070027435,66,Italy,Grocery
