Brand,Product Name,Variant,Volume ML,PCS/Case,Unit Type,Buy Price,Currency,Price Type,Margin %,Stock Cases,Incoterm,Warehouse,Origin Country,Category,Status,Offer Approval Status,Supplier,Offer Date,Source Sheet,Notes
Mentos,Mentos Peppermint Rolls 475.2g,,,24,Piece,2.5135,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A020; pack 29.7g x 16 Rolls x 24 Boxes; CBM 0.03; FOB Ho Chi Minh
Mentos,Mentos Rainbow Rolls 475.2g,,,24,Piece,2.5135,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A021; pack 29.7g x 16 Rolls x 24 Boxes; CBM 0.03; FOB Ho Chi Minh
Mentos,"Mentos Chewing Candy Blackcurrant, Blueberry, Raspberry Flavor 475.2g NEW",,,24,Piece,2.5139,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H030; pack 29.7g x 16 Rolls x 24 Boxes; CBM 0.031; FOB Ho Chi Minh
Mentos,"Mentos Chewing Candy Blackcurrant, Blueberry, Raspberry Flavor 94.5g *NEW",,,45,Piece,0.4816,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H031; pack 94.5g x 45 Bags; CBM 0.031; FOB Ho Chi Minh
Mentos,Mentos Mini Rainbow 108g,,,45,Piece,0.4799,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A027A; pack 108g x 45 Bags; CBM 0.028; FOB Ho Chi Minh
Mentos,Mentos Mini Rainbow 240g,,,22,Piece,1.582,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A017; pack 240g x 22 Pouches; CBM 0.028; FOB Ho Chi Minh
Mentos,Mentos Pure Fresh Peppermint 35g,,,6,Jar,12.9433,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A011; pack 35g x 12 Jars x 6 Boxes; CBM 0.009; FOB Ho Chi Minh
Mentos,Mentos Pure Fresh Spearmint 35g,,,6,Jar,12.9433,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A010; pack 35g x 12 Jars x 6 Boxes; CBM 0.009; FOB Ho Chi Minh
Mentos,Mentos CleanBreath 30' Peppermint 35g,,,6,Jar,12.9433,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A012; pack 35g x 12 Jars x 6 Boxes; CBM 0.009; FOB Ho Chi Minh
Mentos,Mentos CleanBreath 30' Lemon Mint 35g,,,6,Jar,12.9433,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A015; pack 35g x 12 Jars x 6 Boxes; CBM 0.009; FOB Ho Chi Minh
Mentos,Mentos CleanBreath 30' Mint Peach Flavor 35g,,,6,Jar,12.9433,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212A019; pack 35g x 12 Jars x 6 Boxes; CBM 0.009; FOB Ho Chi Minh
Mentos,Mentos Mint and Peach Flavor 17.5g (NEW),,,144,Jar,0.4881,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H028; pack 17.5g x 12 Jars x 12 Boxes; CBM 0.017; FOB Ho Chi Minh
Mentos,Mentos Mint and Grape Flavor 17.5g (NEW),,,144,Jar,0.4881,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H029; pack 17.5g x 12 Jars x 12 Boxes; CBM 0.017; FOB Ho Chi Minh
Mentos,Mentos Mint Flavor 17.5g (NEW),,,144,Jar,0.4883,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H037; pack 17.5g x 12 Jars x 12 Boxes; CBM 0.019; FOB Ho Chi Minh
Mentos,"Mentos Yoghurt Candy (Strawberry, Peach) 90g",,,48,Jar,0.7483,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H020; pack 90g x 6 Jars x 8 Blocks; CBM 0.023; FOB Ho Chi Minh
Mentos,"Mentos Chewing Candy Berry Flavor (Raspberry, Blackcurrant, Blueberry) 90g",,,48,Jar,0.7479,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H035; pack 90g x 6 Jars x 8 Blocks; CBM 0.022; FOB Ho Chi Minh
Mentos,Mentos Mix Fruits 486g,,,12,Jar,2.0577,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H026; pack 486g x 12 Jars; CBM 0.02; FOB Ho Chi Minh
Mentos,Mentos Pure Fresh Gum - Freshmint 17.5g,,,72,Jar,0.3138,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H044; pack 17.5g x 6Jars x 12 Blocks; CBM 0.01; FOB Ho Chi Minh
Mentos,Mentos Pure Fresh Gum - Freshmint 61.25g,,,72,Jar,0.8809,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H012; pack 61.25g x 6 Jars x 12 Blocks; CBM 0.023; FOB Ho Chi Minh
Mentos,Mentos Pure Fresh Gum Strawberry 61.25g,,,72,Jar,0.8813,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H027; pack 61.25g x 6 Jars x 12 Blocks; CBM 0.024; FOB Ho Chi Minh
Mentos,Mentos Pure Fresh Gum Watermelon 61.25g,,,72,Jar,0.8811,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H021; pack 61.25g x 6 Jars x 12 Blocks; CBM 0.024; FOB Ho Chi Minh
Mentos,Mentos Fresh Action Gum 56g,,,72,Jar,0.6093,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H002; pack 56g x 6 Jars x 12 Block; CBM 0.023; FOB Ho Chi Minh
Mentos,Mentos Fresh Action Gum 112g,,,45,Piece,1.1773,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H003A; pack 112g x 45 Bags; CBM 0.025; FOB Ho Chi Minh
Mentos,Mentos Fresh Action Gum 224g,,,18,Piece,2.3761,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H003; pack 112g x 2 x 18 Cups; CBM 0.037; FOB Ho Chi Minh
Mentos,Mentos Mint & Eucalyptus Chewing Gum 61.25g,,,72,Jar,0.8811,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H041; pack 61.25g x 6Jars x 12 Blocks; CBM 0.024; FOB Ho Chi Minh
Mentos,Mentos Mint & Eucalyptus Chewing Gum 17.5g,,,72,Jar,0.3138,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H042; pack 17.5g x 6Jars x 12 Blocks; CBM 0.01; FOB Ho Chi Minh
Mentos,Mentos Pure Fresh Gum Watermelon 17.5g,,,72,Jar,0.3138,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215H043; pack 17.5g x 6Jars x 12 Blocks; CBM 0.01; FOB Ho Chi Minh
Happydent,Happydent WHITE Gum Peppermint 11.2g,,,20,Piece,2.4068,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215C003; pack 11.2g x 15 Blisters x 20 Boxes; CBM 0.034; FOB Ho Chi Minh
Happydent,Happydent WHITE Gum Peppermint 56g,,,72,Jar,0.6115,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215C001; pack 56g x 6 Jars 12 Block; CBM 0.031; FOB Ho Chi Minh
Chupa,Chupa Chups Big Babol Gum Color Painting 216g,,,144,Jar,0.3157,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 215A025; pack 27g x 18 Jars x 8 Block; CBM 0.032; FOB Ho Chi Minh
Chupa,Chupa Chups Vanilla Flavor Giraffe 360g,,,14,Piece,3.9822,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F093; pack 30g x 12 Bar x 14 Boxes; CBM 0.036; FOB Ho Chi Minh
Chupa,Chupa Chups Strawberry Flavor Giraffe 360g,,,14,Piece,3.9822,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F087; pack 30g x 12 Bar x 14 Boxes; CBM 0.036; FOB Ho Chi Minh
Chupa,Chupa Chups Lollipops Colors Cola & Strawberry 80pcs 744g,,,16,Piece,2.6416,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F101; pack 744g x 16 Pouches; CBM 0.046; FOB Ho Chi Minh
Chupa,Chupa Chups Lollipops Vitamin C 80pcs 744g,,,16,Piece,2.6446,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F100; pack 744g x 16 Pouches; CBM 0.048; FOB Ho Chi Minh
Chupa,Chupa Chups Lollipops Vitamin C 93g,,,70,Piece,0.353,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F012; pack 93g x 70 Bags; CBM 0.05; FOB Ho Chi Minh
Chupa,Chupa Chups Lollipops Colors Tongue Painter 93g,,,70,Piece,0.353,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F013; pack 93g x 70 Bags; CBM 0.05; FOB Ho Chi Minh
Chupa,"Chupa Chups Lollipops Big Babol Watermelon, Strawberry, Cola 432g (Add Sticker)",,,24,Piece,2.4822,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F102; pack 12g x 36 Pcs x 24 Pouches; CBM 0.084; FOB Ho Chi Minh
Chupa,Chupa Chups Sour Belt Tutti Fruit 504g (New),,,14,Piece,3.9849,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F088A; pack 504g (8.4g x 60 Belt) x 14 Boxes; CBM 0.038; FOB Ho Chi Minh
Chupa,Chupa Chups Sour Rainbow Belt Soft 57.6g,,,64,Piece,0.4449,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F096; pack 57.6g x 62 Bags; CBM 0.038; FOB Ho Chi Minh
Chupa,Chupa Chups Sour Belt 1M 540g,,,14,Piece,3.9692,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F063; pack 45g x 12 Belts x 14 Boxes; CBM 0.054; FOB Ho Chi Minh
Chupa,Chupa Chups Sour Noodle Gummies – Mixed Fruit Flavours 38g,,,70,Piece,0.3223,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F103; pack 38g x 70 Bags; CBM 0.036; FOB Ho Chi Minh
Chupa,Chupa Chups Gummy Candy Short Tubes 24g,,,24,Piece,1.5998,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F094; pack 24g x 10 Pouches x 24 Hanger; CBM 0.05; FOB Ho Chi Minh
Chupa,Chupa Chups Gummy Candy Short Tubes 52g,,,70,Piece,0.4431,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F095; pack 52g x 70 Pouches; CBM 0.05; FOB Ho Chi Minh
Chupa,Chupa Chups Cola 24g,,,24,Piece,1.5998,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F092; pack 24g x 10 Pouches x 24 Hanger; CBM 0.05; FOB Ho Chi Minh
Chupa,Chupa Chups Panda Bears 24g,,,24,Piece,1.5998,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F082; pack 24g x 10 Pouches x 24 Hanger; CBM 0.05; FOB Ho Chi Minh
Chupa,Chupa Chups Mini Crawlers 24g,,,24,Piece,1.5998,USD,Per Piece,5%,,FOB,Vietnam,Vietnam,Confectionery,Live,Approved,GG Concept,2026-08-11,GG Concept / Candy,SKU 212F083; pack 24g x 10 Pouches x 24 Hanger; CBM 0.05; FOB Ho Chi Minh
