row,source,reason,raw
474,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = '#REF!') - not priceable,LOR DEX WP TONER 200ML | 8991380233268
604,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = '#REF!') - not priceable,BDL ELS FALL RESIST 170 + GWP DROPLET | 8991380023227
750,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB SUNKISSER BLUSH 02 UPTOWN NU IN | 3600531668402
751,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB  SUNKISSER BLUSH 03 SOL SE NU IN | 3600531668419
752,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB SUNKISSER BLUSH 11 ELECTR NU IN | 3600531668495
753,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB SUNKISSER ORIGINAL 08 AS X | 3600531668464
754,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB SUNKISSER ORIGINAL 06 AS X | 3600531668440
755,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = '#REF!') - not priceable,MYB COLOR RIVAL PLT STRK CN | 6902395973782.0
756,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = '#REF!') - not priceable,MYB COLOR RIVAL PLT SMOKY CN | 6902395973799.0
856,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB FIT ME FRESH TINT SAC BY6 02 | 6902395970774
857,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB FIT ME FRESH TINT SAC BY6 05 | 6902395830481
858,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB FIT ME FRESH TINT SAC BY6 05 | 6902395830498
859,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB FIT ME FRESH TINT SACBY6 05 | 8850434278764
860,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB FIT ME FRESH TINT SACBY6 02 | 8850434308478
861,LOREAL_GARNIER_1.xlsx - Daftar Harga,no FOB price (cell = 0.0) - not priceable,MYB FIT ME FRESH TINT SACBY6 07 | 8850434278771
