Source List,Source Row,Supplier Name,Supplier Ref,Barcode,Brand,Range,Product Name,Public Product Description,Variant,Category,Supplier Category,Public Spec,Pack,Unit Size,Volume ML,PCS/Case,Unit Type,Buy Price,Buy Price Unit,Currency,Price Type,Margin %,Sell Price Per Case,Sell Price Per Unit,Price Display,Price Per Unit & Case,Stock Display,Stock Cases,MOQ,Incoterm,Public Terms,Origin Country,Warehouse,BBD,Offer Expiry,Public Listing,Featured,Supplier Remarks,Review,Notes
LOREAL_GARNIER,7,PT. Surya Graha Pasaraya,G12549,8992304012549,Garnier,Skin Naturals Body,GAR BRIGHT COMP BODY LIGHT EXTRA 400ML EB,Garnier Bright Complete Body Light Extra 400ml,,Toiletries,Women Skin Care,12 x 400ml,12 x 400ml,400ml,400.0,12,Bottle,40.98,3.4153,USD,Per Case,5.0,43.03,3.59,USD 43.03,USD 43.03/case (12pk) · USD 3.59/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,,
LOREAL_GARNIER,8,PT. Surya Graha Pasaraya,G02979,8994993002979,Garnier,Skin Naturals Body,GAR SAKURA GLOW BODY LOTION 400ML ET,Garnier Sakura Glow Body Lotion 400ml,,Toiletries,Women Skin Care,12 x 400ml,12 x 400ml,400ml,400.0,12,Bottle,40.98,3.4153,USD,Per Case,5.0,43.03,3.59,USD 43.03,USD 43.03/case (12pk) · USD 3.59/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,,
LOREAL_GARNIER,10,PT. Surya Graha Pasaraya,G58663,8991380058663,Garnier,Skin Naturals Face,Micellar Pink 300+100ml,Garnier Micellar Pink 300+100ml,,Toiletries,Women Skin Care,6 x 300+100ml,6 x 300+100ml,300+100ml,400.0,6,Bottle,13.72,2.2863,USD,Per Case,5.0,14.4,2.4,USD 14.40,USD 14.40/case (6pk) · USD 2.40/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,Produk baru Maret 2026,bundle/value set - confirm what the case contains,bonus-pack size (main + extra)
LOREAL_GARNIER,11,PT. Surya Graha Pasaraya,G34062,8994993034062,Garnier,Skin Naturals Face,GAR BC Low pH Vit C 100.0MLT EBT,Garnier Bright Complete Low PH Vitamin C 100ml,,Toiletries,Women Skin Care,12 x 100ml,12 x 100ml,100ml,100.0,12,Tube,19.65,1.6371,USD,Per Case,5.0,20.63,1.72,USD 20.63,USD 20.63/case (12pk) · USD 1.72/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,Produk baru April 2026,"name codes: C, PH",
LOREAL_GARNIER,12,PT. Surya Graha Pasaraya,G34147,8994993034147,Garnier,Skin Naturals Face,GAR BCAA Low pH Salic 100.0MLT EBT,Garnier BCAA Low PH Salic 100ml,,Toiletries,Women Skin Care,12 x 100ml,12 x 100ml,100ml,100.0,12,Tube,19.65,1.6371,USD,Per Case,5.0,20.63,1.72,USD 20.63,USD 20.63/case (12pk) · USD 1.72/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,Produk baru April 2026,"name codes: BCAA, PH",
LOREAL_GARNIER,13,PT. Surya Graha Pasaraya,G34222,8994993034222,Garnier,Skin Naturals Face,GAR SG Low pH NC 100.0MLT EBT,Garnier Sakura Glow Low PH NC 100ml,,Toiletries,Women Skin Care,12 x 100ml,12 x 100ml,100ml,100.0,12,Tube,19.65,1.6371,USD,Per Case,5.0,20.63,1.72,USD 20.63,USD 20.63/case (12pk) · USD 1.72/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,Produk baru April 2026,"name codes: NC, PH",
LOREAL_GARNIER,14,PT. Surya Graha Pasaraya,G00972,3600542600972,Garnier,Skin Naturals Face,GA SUNPRO INVI MIST SNSCRN AE75 EBT,Garnier Sunpro INVI Mist Snscrn Ae75,,Toiletries,Women Skin Care,6,6 x bottle,,,6,Bottle,25.67,4.279,USD,Per Case,5.0,26.96,4.49,USD 26.96,USD 26.96/case (6pk) · USD 4.49/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line; name codes: INVI,
LOREAL_GARNIER,15,PT. Surya Graha Pasaraya,G27521,8994993027521,Garnier,Skin Naturals Face,GAR SUPER UV COOLING GEL SPF50 30ML EBT,Garnier Super Uv Cooling Gel SPF50 30ml,,Toiletries,Women Skin Care,24 x 30ml,24 x 30ml,30ml,30.0,24,Tube,67.47,2.8113,USD,Per Case,5.0,70.84,2.95,USD 70.84,USD 70.84/case (24pk) · USD 2.95/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,Produk baru Maret 2025,,
LOREAL_GARNIER,16,PT. Surya Graha Pasaraya,G27484,8994993027484,Garnier,Skin Naturals Face,GAR SUPER UV COOLING GEL SPF 35 20ML EB,Garnier Super Uv Cooling Gel SPF35 20ml,,Toiletries,Women Skin Care,24 x 20ml,24 x 20ml,20ml,20.0,24,Tube,38.88,1.6202,USD,Per Case,5.0,40.83,1.7,USD 40.83,USD 40.83/case (24pk) · USD 1.70/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,Produk baru Maret 2025,,
LOREAL_GARNIER,17,PT. Surya Graha Pasaraya,G92847,6923700992847,Garnier,Skin Naturals Face,GAR BRIGHT COMPLETE HYPERPIGMENTATION AMPOULE MONO EB,Garnier Bright Complete Hyperpigmentation Ampoule Mono,,Toiletries,Women Skin Care,144,144 x ampoule,,,144,Ampoule,146.32,1.0161,USD,Per Case,5.0,153.64,1.07,USD 153.64,USD 153.64/case (144pk) · USD 1.07/unit,Enquire,,,FOB Jakarta,FOB Jakarta,Indonesia,Jakarta,,2026-09-25,No,No,,no unit size on the supplier line,
