Source List,Source Row,Ref,Name,Reason
LOREAL_GARNIER,4,,-,filler row (dashes only)
LOREAL_GARNIER,5,,GARNIER,section banner
LOREAL_GARNIER,6,,GARNIER BODY,section banner
LOREAL_GARNIER,9,,GARNIER SKIN NATURAL,section banner
LOREAL_GARNIER,214,,GARNIER MEN,section banner
LOREAL_GARNIER,282,,GARNIER COLOR NATURAL,section banner
LOREAL_GARNIER,349,,NERIL,section banner
LOREAL_GARNIER,365,,NUTRISSE,section banner
LOREAL_GARNIER,373,,L'OREAL,section banner
LOREAL_GARNIER,374,,DERMO EXPERTISE,section banner
LOREAL_GARNIER,474,P9233268,LOR DEX WP TONER 200ML,no FOB price on the list
LOREAL_GARNIER,490,,MEN EXPERT,section banner
LOREAL_GARNIER,516,,STUDIO LINE,section banner
LOREAL_GARNIER,531,,EXCELLENCE,section banner
LOREAL_GARNIER,577,,ELSEVE,section banner
LOREAL_GARNIER,604,L23227,BDL ELS FALL RESIST 170 + GWP DROPLET,no FOB price on the list
LOREAL_GARNIER,734,,MAGIC RETOUCH,section banner
LOREAL_GARNIER,738,,,blank spacer row
LOREAL_GARNIER,739,,MAYBELLINE,section banner
LOREAL_GARNIER,750,M68402,MYB SUNKISSER BLUSH 02 UPTOWN NU IN,no FOB price on the list
LOREAL_GARNIER,751,M68419,MYB SUNKISSER BLUSH 03 SOL SE NU IN,no FOB price on the list
LOREAL_GARNIER,752,M68495,MYB SUNKISSER BLUSH 11 ELECTR NU IN,no FOB price on the list
LOREAL_GARNIER,753,M68464,MYB SUNKISSER ORIGINAL 08 AS X,no FOB price on the list
LOREAL_GARNIER,754,M68440,MYB SUNKISSER ORIGINAL 06 AS X,no FOB price on the list
LOREAL_GARNIER,755,M73782,MYB COLOR RIVAL PLT STRK CN,no FOB price on the list
LOREAL_GARNIER,756,M73799,MYB COLOR RIVAL PLT SMOKY CN,no FOB price on the list
LOREAL_GARNIER,856,M70774,MYB FIT ME FRESH TINT SAC BY6 02,no FOB price on the list
LOREAL_GARNIER,857,M30481,MYB FIT ME FRESH TINT SAC BY6 05,no FOB price on the list
LOREAL_GARNIER,858,M30498,MYB FIT ME FRESH TINT SAC BY6 05,no FOB price on the list
LOREAL_GARNIER,859,M78764,MYB FIT ME FRESH TINT SACBY6 05,no FOB price on the list
LOREAL_GARNIER,860,M08478,MYB FIT ME FRESH TINT SACBY6 02,no FOB price on the list
LOREAL_GARNIER,861,M78771,MYB FIT ME FRESH TINT SACBY6 07,no FOB price on the list
LOREAL_GARNIER,964,,,blank spacer row
